flight_time,year,month,dayofmonth,weekday,carrier,tailnum,flightnum,origin,dest,bos_depart,schedule_depart,depart,wheels_off,distance,weather_delay,nas_delay,security_delay,late_aircraft_delay,carrier_delay
108,2018,1,9,2,AA,N916NN,1628,BOS,ORD,1,760,824,840,867,0,0,0,1,1
80,2018,1,26,5,DL,N845DN,903,ATL,BOS,0,1345,1338,1349,946,0,0,0,0,0
78,2018,8,18,6,UA,N69830,1223,ORD,BOS,0,1093,1093,1110,867,0,0,0,0,0
207,2018,6,2,6,UA,N512UA,2396,SFO,BOS,0,360,351,380,2704,0,0,0,0,0
223,2018,12,10,1,B6,N987JB,487,BOS,LAX,1,635,625,643,2611,0,0,0,0,0
105,2018,7,26,4,B6,N706JB,1807,BOS,other,1,450,446,467,942,0,0,0,0,0
55,2018,4,20,5,DL,N369NB,2935,JFK,BOS,0,899,891,914,187,0,0,0,0,0
168,2018,8,2,4,B6,N521JB,493,BOS,DEN,1,450,473,491,1754,0,0,0,0,1
85,2018,4,19,4,9E,N319PQ,5195,other,BOS,0,674,693,708,1010,0,0,0,0,0
50,2018,2,3,6,9E,N303PQ,4001,JFK,BOS,0,420,418,445,187,0,0,0,0,0
91,2018,12,6,4,B6,N358JB,2984,RDU,BOS,0,836,851,866,612,0,0,0,0,0
163,2018,8,1,3,AA,N994NN,1259,BOS,other,1,450,448,486,1258,0,1,0,0,0
142,2018,12,8,6,B6,N603JB,321,BOS,other,1,1093,1085,1106,1197,0,0,0,0,0
53,2018,2,18,7,B6,N346JB,2317,BOS,JFK,1,496,491,536,187,0,1,0,0,0
66,2018,11,30,5,UA,N77538,2047,BOS,EWR,1,1148,1145,1178,200,0,0,0,0,0
96,2018,5,4,5,DL,N993AT,671,other,BOS,0,1220,1214,1222,752,0,0,0,0,0
173,2018,4,23,1,AA,N839NN,29,BOS,other,1,1015,1013,1025,1258,0,0,0,0,0
106,2018,2,27,2,B6,N179JB,1109,BOS,other,1,532,530,545,1010,0,0,0,0,0
67,2018,7,3,2,DL,N958AT,256,RDU,BOS,0,705,1007,1026,612,0,1,0,0,1
63,2018,3,4,7,AA,N740UW,854,BOS,PHL,1,330,327,340,280,0,0,0,0,0
55,2018,10,4,4,B6,N318JB,918,JFK,BOS,0,1110,1158,1206,187,0,1,0,1,1
273,2018,4,6,5,AS,N527VA,1367,BOS,LAX,1,1025,1226,1239,2611,0,0,0,1,1
94,2018,3,22,4,DL,N893AT,1361,RDU,BOS,0,1195,1189,1200,612,0,0,0,0,0
69,2018,10,11,4,B6,N339JB,2579,BOS,EWR,1,899,894,910,200,0,0,0,0,0
108,2018,7,17,2,UA,N68842,1251,BOS,ORD,1,622,617,638,867,0,0,0,0,0
209,2018,8,12,7,B6,N505JB,504,other,BOS,0,1265,1265,1280,2602,0,1,0,0,0
193,2018,3,22,4,UA,N510UA,768,SFO,BOS,0,515,512,544,2704,0,0,0,0,0
