date,type,address,city,zip,price,beds,baths,neighborhood 9,sqft,lotsize,year,hoa,url,mls,latitude,longitude
May-6-2022,singlefamily,18 Brown St,Cambridge,2138,3125000,3,2.5,Harvard Square,2376,3600,1873,,https://www.redfin.com/MA/Cambridge/18-Brown-St-02138/home/11587328,72947810,42.376012,-71.1286723
May-5-2022,singlefamily,34 Andrew St,Cambridge,2139,2400000,4,3.5,Cambridgeport,2740,1925,1873,,https://www.redfin.com/MA/Cambridge/34-Andrew-St-02139/home/170596349,72936673,42.3612511,-71.1121572
April-28-2022,singlefamily,2 Nichols Pl,Cambridge,2138,1125000,2,2,Harvard Square,1643,1279,1870,,https://www.redfin.com/MA/Cambridge/2-Nichols-Pl-02138/home/11572033,72953254,42.376284,-71.109088
April-22-2022,singlefamily,346 Allston St,Cambridge,2139,3200000,4,4.5,Cambridgeport,3135,2640,2021,,https://www.redfin.com/MA/Cambridge/346-Allston-St-02139/home/11568977,72948037,42.3612315,-71.113047
April-22-2022,singlefamily,7 Skehan St,Somerville,2143,1525000,4,3,Somerville,3016,3825,1920,,https://www.redfin.com/MA/Somerville/7-Skehan-St-02143/home/8719220,72942064,42.3801683,-71.1049769
April-19-2022,singlefamily,7 Foster Pl,Cambridge,2138,2100000,3,2,Harvard Square,1288,2121,1873,,https://www.redfin.com/MA/Cambridge/7-Foster-Pl-02138/home/11587194,72943915,42.3763265,-71.1294638
April-14-2022,singlefamily,8 Florence,Cambridge,2139,1925000,3,2.5,Cambridge,1955,2227,1877,,https://www.redfin.com/MA/Cambridge/8-Florence-St-02139/home/11560344,72950519,42.3580813,-71.1132137
September-16-2022,townhouse,9 Saint Mary Rd #9,Cambridge,2139,1400000,2,2.5,Cambridge,1541,,1854,300,https://www.redfin.com/MA/Cambridge/9-St-Mary-Rd-02139/unit-9/home/87364994,73007755,42.3711059,-71.1007833
September-2-2022,townhouse,94-98 Pleasant St #98,Cambridge,2139,1115000,2,1,Cambridgeport,1172,,1886,175,https://www.redfin.com/MA/Cambridge/94-Pleasant-St-02139/unit-98/home/180560442,73012382,42.3617458,-71.1106923
September-1-2022,townhouse,7-9 Pine St #9,Cambridge,2139,1760000,4,3.5,Cambridge,1978,,2022,,https://www.redfin.com/MA/Cambridge/7-Pine-St-02139/unit-9/home/180040239,73002331,42.3668162,-71.0975195
